date,Time,Time2,Tag,Building,Treatment,EarTag,Sex,Age,InitialLoc,Sunset,timeaftersun,day,time period,Block,lastLoc,initloc
6/25/02,15:39:35,0.65248843,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,18:14:35,1,18.5,1,NA,NA
6/25/02,21:37:45,0.90121528,3D9.1BF172D302,B,food,B155,M,A,J4,21:25:00,00:12:45,1,0.5,1,NA,NA
6/25/02,21:37:55,0.90133102,3D9.1BF172D302,B,food,B155,M,A,J4,21:25:00,00:12:55,1,0.5,1,NA,NA
6/25/02,21:44:24,0.90583333,3D9.1BF172D302,B,food,B155,M,A,J4,21:25:00,00:19:24,1,0.5,1,NA,NA
6/25/02,21:45:13,0.90640046,3D9.1BF172D302,B,food,B155,M,A,J4,21:25:00,00:20:13,1,0.5,1,NA,NA
6/25/02,22:33:21,0.93982639,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:08:21,1,1.5,1,NA,NA
6/25/02,22:33:49,0.94015046,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:08:49,1,1.5,1,NA,NA
6/25/02,22:34:08,0.94037037,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:09:08,1,1.5,1,NA,NA
6/25/02,22:34:26,0.9405787,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:09:26,1,1.5,1,NA,NA
6/25/02,22:35:03,0.94100694,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:10:03,1,1.5,1,NA,NA
6/25/02,22:38:32,0.94342593,3D9.1BF172D302,B,food,B155,M,A,J4,21:25:00,01:13:32,1,1.5,1,NA,NA
6/25/02,22:38:45,0.94357639,3D9.1BF172D302,B,food,B155,M,A,J4,21:25:00,01:13:45,1,1.5,1,NA,NA
6/25/02,22:43:51,0.94711806,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:18:51,1,1.5,1,NA,NA
6/25/02,22:46:13,0.94876157,3D9.1BF161E7F7,B,food,B126,F,A,G6,21:25:00,01:21:13,1,1.5,1,NA,NA
6/25/02,22:46:23,0.94887731,3D9.1BF161E7F7,B,food,B126,F,A,G6,21:25:00,01:21:23,1,1.5,1,NA,NA
6/25/02,22:46:40,0.94907407,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:21:40,1,1.5,1,NA,NA
6/25/02,22:46:47,0.94915509,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:21:47,1,1.5,1,NA,NA
6/25/02,22:47:27,0.94961806,3D9.1BF1717C7F,B,food,B112,M,A,F8,21:25:00,01:22:27,1,1.5,1,NA,NA
6/25/02,22:47:43,0.94980324,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:22:43,1,1.5,1,NA,NA
6/25/02,22:47:55,0.94994213,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:22:55,1,1.5,1,NA,NA
6/25/02,22:49:11,0.95082176,3D9.1BF1717C7F,B,food,B112,M,A,F8,21:25:00,01:24:11,1,1.5,1,NA,NA
6/25/02,22:49:21,0.9509375,3D9.1BF1717C7F,B,food,B112,M,A,F8,21:25:00,01:24:21,1,1.5,1,NA,NA
6/25/02,22:49:31,0.95105324,3D9.1BF1717C7F,B,food,B112,M,A,F8,21:25:00,01:24:31,1,1.5,1,NA,NA
6/25/02,22:49:41,0.95116898,3D9.1BF1717C7F,B,food,B112,M,A,F8,21:25:00,01:24:41,1,1.5,1,NA,NA
6/25/02,22:51:07,0.95216435,3D9.1BF1717C7F,B,food,B112,M,A,F8,21:25:00,01:26:07,1,1.5,1,NA,NA
6/25/02,22:52:20,0.95300926,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:27:20,1,1.5,1,NA,NA
6/25/02,22:52:53,0.9533912,3D9.1BF16FFBFC,B,food,B171,F,S,F6,21:25:00,01:27:53,1,1.5,1,NA,NA
